"individual.id","individual.local.identifier","n_fixes_used","first_timestamp","last_timestamp_used","nest_longitude","nest_latitude"
905848269,"Flüela19 (eobs 7007)",30,2019-07-03 19:00:39,2019-07-04 16:01:22,9.88411936495434,46.8033967596032
907108644,"Nalps19 (eobs 5861)",30,2019-07-04 09:40:39,2019-07-08 07:02:11,8.81165166651837,46.6631986000435
907109256,"Tuors1 19 (eobs 7010)",30,2019-07-05 11:40:35,2019-07-05 15:06:24,9.77208082060606,46.6404606983649
907109665,"Tuors2 19 (eobs 7011)",30,2019-07-05 15:30:53,2019-07-07 11:30:47,9.77120453368467,46.640139082599
907111821,"Seta19 (eobs 5796)",30,2019-07-05 17:00:12,2019-07-06 13:00:50,9.73150010345829,46.8292828493399
908235585,"ValGrande19 (eobs 7033)",30,2019-07-05 13:20:40,2019-07-10 11:02:19,10.3870582697264,46.2806455133896
909810109,"Kastelbell19 (eobs 7034)",30,2019-07-10 14:20:34,2019-07-12 09:00:19,10.9314095847624,46.6581698803583
910176280,"Sampuoir1 19 (eobs 5943)",30,2019-07-14 07:41:58,2019-07-31 06:21:11,10.2065974400196,46.7501704898148
910178593,"Sampuoir2 19 (eobs 6462)",30,2019-07-10 14:20:18,2019-07-12 06:40:15,10.2077313453473,46.7499984839269
911704434,"Trenzeira19 (eobs 5858)",30,2019-07-13 07:00:47,2019-07-15 12:40:23,10.1747217667699,46.6093788827602
924789197,"Matsch19 (eobs 7035)",30,2019-07-31 15:01:35,2019-08-06 05:00:23,10.7101212410516,46.7440105902955
