"behaviour","varWaveWingBeat","varRestWaves","varOrigWave","eigenValue1","beatsSec","amplitude","propExplPC1","propExplPC2","propExplPC3","odbaAvg","odbasd","burstmeanx","burstmeany","burstmeanz","sdx","sdy","sdz","skewx","skewy","skwz","kurtx","kurty","kurtz","xmax","ymax","zmax","xmin","ymin","zmin","xycorr","xzcorr","yzcorr","trendx","trendy","trendz","dynxmax","dynymax","dynzmax","xycross","xzcross","yzcross","rollanimaltrack","pitchanimaltrack","autcorxmean","autcorymean","autcorzmean","autcorxsd","autcorysd","autcorzsd","dynxmean","dynymean","dynzmean","dynxmin","dynymin","dynzmin","dynxsd","dynysd","dynzsd"
"Active",0.00500804908406491,0.103274177835997,0.118298325088192,23.2298521445428,0.378740058073476,0.199781464629144,0.82647,0.09922,0.07432,0.373962514437701,0.349172578880589,0.118289831912879,-0.0328332149621212,-0.975253018465909,0.112724244145879,0.115188015949462,0.342290080095339,0.101969207475333,-0.627338419757048,0.240407112856643,7.51008362687228,9.49095988144783,5.68006006016005,0.701171875,0.466796875,0.07421875,-0.375,-0.55078125,-2.125,0.111107828852833,-0.282073508322541,0.034543464559894,-0.000228257766999393,0.000181696710994006,2.02924807521739e-05,0.582882043087121,0.499630089962121,1.04947176846591,38,10,8,0.0953189887320803,-0.0609285904915592,0.0735183791356847,0.119085090131859,0.205732606769785,0.206452505035491,0.283208745395456,0.394931283303308,3.34865492014214e-18,3.33544890646449e-18,-2.73265662616771e-17,-0.493289831912879,-0.517948035037879,-1.14974698153409,0.112724244145879,0.115188015949462,0.342290080095339
"Active",0.00704027455334322,0.16962198793233,0.19074281159236,35.6273554033192,3.1561671506123,0.236873077350749,0.8189,0.11169,0.06941,0.513884349083879,0.415671983636566,0.118304628314394,-0.0304435961174242,-1.04043856534091,0.144171459720452,0.153677884708273,0.434192777497629,0.391273954790246,0.0432853675414851,0.602532871321095,8.09818547307755,6.10898067776954,4.02082739048455,0.87890625,0.572265625,0.173828125,-0.3828125,-0.583984375,-2.099609375,0.249369665144791,-0.261733946480058,-0.146929717693326,-5.81871488351845e-05,-0.000192379545169211,-0.00162568750244572,0.760601621685606,0.602709221117424,1.21426669034091,54,14,12,0.0957689622382947,-0.0747557266012954,0.0423227220385566,0.0741963916158724,0.220490986588972,0.217090104611562,0.28230253630114,0.332748934174022,6.73427127798264e-18,1.58524301576429e-18,8.06921573698748e-17,-0.501117128314394,-0.553540778882576,-1.05917080965909,0.144171459720452,0.153677884708273,0.434192777497629
"Active",0.0120327836470786,0.20684480961819,0.242943160559425,46.7291621434587,3.1561671506123,0.309673439883277,0.82943,0.10366,0.06692,0.59732478818727,0.447918364820864,0.133234197443182,-0.0384706439393939,-0.990145596590909,0.158580303984097,0.173890977008981,0.487358852124958,0.426019129094861,-0.364781726989801,0.537187736177538,7.84650981327832,4.85980888298907,3.51888237530743,1.02734375,0.56640625,0.33984375,-0.537109375,-0.587890625,-2.125,0.0337610933224684,-0.444199981728841,0.0214839123157728,0.000186967112997215,4.10014984119117e-05,-4.60585367086471e-05,0.894109552556818,0.604876893939394,1.32998934659091,60,16,16,0.0495030423092581,-0.0669606318187329,0.0680033011457749,0.0968088437996169,0.146965615264623,0.215997140309154,0.302786846340158,0.410247783137259,-5.69524900870457e-18,-7.14266949688456e-18,-2.19225473935248e-17,-0.670343572443182,-0.549419981060606,-1.13485440340909,0.158580303984097,0.173890977008981,0.487358852124959
"Active",0.00366878171393622,0.0580705886670832,0.0690769338088918,12.6987306018445,0.252493372048984,0.170994381510145,0.69704,0.24018,0.06277,0.302369677330837,0.319071517935596,0.105446555397727,-0.0249393347537879,-1.09156013257576,0.154764681106592,0.0795403469267374,0.262338395545706,-2.812571080573,0.252158781870855,2.45776699401719,19.8703840293326,13.6165669388629,12.4389453532281,0.478515625,0.470703125,0.216796875,-1.099609375,-0.408203125,-1.771484375,-0.0735456473763902,0.0708478988654839,-0.0991830713917071,-0.000374448209609728,-1.78123665043795e-05,-0.00020866588349236,0.373069069602273,0.495642459753788,1.30835700757576,44,4,4,0.119452956587749,-0.0303347516608348,0.10038230491265,0.0493327526872562,0.362301149313103,0.239177231340792,0.233822626383341,0.223873253717893,-9.24955967829029e-18,1.01951965651336e-19,-6.63252465365185e-18,-1.20505593039773,-0.383263790246212,-0.679924242424242,0.154764681106592,0.0795403469267374,0.262338395545706
"Active",0.00147115949511669,0.0658451538442561,0.0702586323296062,10.975657477571,0.252493372048984,0.108280632479555,0.79024,0.14819,0.06156,0.282550065642218,0.301579450066142,0.121234315814394,-0.0416444720643939,-1.08182410037879,0.111958920120162,0.078731386053636,0.264903858951581,-1.4442461321465,-1.02943903813749,1.42752819009618,15.0384885444531,11.8359197553319,10.0506332997004,0.625,0.302734375,0.173828125,-0.5546875,-0.439453125,-2.037109375,0.241450903952403,0.0433889162616033,-0.0929438832477812,-0.000227014525342564,5.04130670404814e-05,-0.00150222188684137,0.503765684185606,0.344378847064394,1.25565222537879,22,4,4,0.10590253201202,-0.0512503064680229,0.130852129371226,0.081649893692748,0.233137209414331,0.207840851437819,0.231465384496652,0.276269280728311,4.37633689414722e-18,-3.85047060606017e-18,-3.34982536566925e-17,-0.675921815814394,-0.397808652935606,-0.955285274621212,0.111958920120162,0.078731386053636,0.264903858951581
"Active",0.0188927482458103,0.203883027001911,0.260561271739342,53.998590796872,3.1561671506123,0.388032831657171,0.84481,0.09847,0.05672,0.597842045723571,0.453675197279423,0.121789180871212,-0.0493090080492424,-1.00940311316288,0.142862662753008,0.17326196729508,0.507934161647606,-0.0976388971982386,-0.741082382159557,0.252288770992111,4.69782682626999,4.59676054385942,3.2715211636044,0.66796875,0.412109375,0.212890625,-0.404296875,-0.646484375,-2.234375,0.129852533126458,-0.329142378053115,-0.0713210340000481,5.54172420905373e-05,-4.8487698429517e-06,0.000416003816751889,0.546179569128788,0.461418383049242,1.22229373816288,51,22,20,0.0735811609679921,-0.086623027172369,0.099115998290015,0.104839580689885,0.127837709190468,0.218615559164789,0.337601813780365,0.486627184625429,-8.52629942045353e-18,3.71855164144158e-18,1.07711083831876e-16,-0.526086055871212,-0.597175366950758,-1.22497188683712,0.142862662753008,0.17326196729508,0.507934161647606
"Active",0.00389358650197643,0.107279565299695,0.118960324805624,20.1370149286583,0.504986744097967,0.176155342087757,0.76905,0.15741,0.07354,0.376273891704689,0.39388678224751,0.13839814157197,-0.0461795691287879,-1.02584931344697,0.172750671920168,0.107363091680684,0.336624368944026,-0.460006804095691,-0.292687082495513,1.72810693600621,13.9002482834637,9.89023824172712,7.79730646820503,0.919921875,0.427734375,0.423828125,-0.919921875,-0.5625,-1.97265625,-0.0273228155127388,-0.38374418569206,-0.0716365240978263,0.00024039211128521,4.2928777742632e-05,5.4926824018948e-06,0.78152373342803,0.473913944128788,1.44967743844697,31,10,8,0.098977755514698,-0.0599125326478576,0.0397905633234962,0.0522936247166894,0.211643246932036,0.240408305710075,0.248339168793795,0.282841990555447,-1.82180102972106e-18,3.44756847594101e-19,2.69388305131552e-17,-1.05832001657197,-0.516320430871212,-0.94680693655303,0.172750671920168,0.107363091680684,0.336624368944026
"Active",0.00331256084371263,0.0774660098250903,0.0874036923562282,15.7182206776441,0.378740058073476,0.162481094648188,0.79876,0.1065,0.09474,0.340559189641443,0.311218228618098,0.102146957859848,-0.0339577414772727,-0.952592329545455,0.111874402355648,0.102439773251908,0.293963683179036,0.0363494762161548,-0.751031889816299,0.924441130286327,5.92322815428336,10.893404456594,6.93754571875519,0.669921875,0.38671875,0.20703125,-0.244140625,-0.537109375,-1.958984375,0.0373897508397096,-0.261337455741031,-0.0134225519041541,-0.00015312189699111,0.000199211642122495,-0.000479012348446804,0.567774917140151,0.420676491477273,1.15962357954545,32,6,6,0.0661379410161284,-0.0500376390432254,0.140873249950787,0.0841430890575188,0.222390321991928,0.203644323051019,0.284499460871137,0.32266204787522,2.846236044095e-18,9.09970062001802e-19,4.03869929430563e-17,-0.346287582859849,-0.503151633522727,-1.00639204545455,0.111874402355648,0.102439773251908,0.293963683179036
"Active",0.00323732066995893,0.08374610318045,0.0934580651903268,15.5276033582279,0.378740058073476,0.160625230687178,0.71866,0.16248,0.11886,0.390413366620753,0.32818535806072,0.127752130681818,0.0180738044507576,-0.938661517518939,0.151834281009469,0.126326107945844,0.301716853928332,-0.665943727606042,-0.882614358288749,1.08529926753401,6.18905017969475,10.3133333798231,7.00658312764083,0.646484375,0.59765625,0.3203125,-0.619140625,-0.62109375,-1.923828125,0.101664319653044,-0.275502749974054,-0.0839018042745536,0.000341972979671165,0.000490034016926022,-0.00134825545171657,0.518732244318182,0.579582445549242,1.25897401751894,74,6,6,0.125090380259281,0.00670848440202416,0.129810309516701,0.161854000617447,0.220813003802903,0.200859613368953,0.237486570502209,0.299299271892328,5.70325250751868e-18,2.7651518901442e-18,5.38766343197077e-17,-0.746892755681818,-0.639167554450758,-0.985166607481061,0.151834281009469,0.126326107945844,0.301716853928332
"Active",0.00669885586509425,0.192047394122658,0.212143961717941,35.5990578726895,0.378740058073476,0.231058112362406,0.80222,0.11677,0.08101,0.550058019828972,0.461712182044336,0.137414180871212,-0.0570253314393939,-1.03145714962121,0.184901990342096,0.149459487633365,0.45598085203205,-0.374119554866407,-0.202511382605212,0.99235527665554,6.25785967716576,5.3793545494047,4.64374176448281,0.904296875,0.443359375,0.490234375,-0.677734375,-0.587890625,-2.111328125,0.0202701665382927,-0.305425309122785,0.144011345010923,-0.000634399722166061,-0.000354229610021588,0.000407980704481865,0.766882694128788,0.500384706439394,1.52169152462121,37,13,11,0.0867678179995586,-0.0733399999718119,0.102629580420885,0.0847085854807811,0.196614536572353,0.217823577665224,0.231558986554569,0.286238960262526,-9.31279357541514e-18,-6.36937975137152e-18,3.35340857171279e-17,-0.815148555871212,-0.530865293560606,-1.07987097537879,0.184901990342096,0.149459487633365,0.45598085203205
